NAME;POS;AGE;HT;WT;COLLEGE;SALARY;
Greg Brown III36;PF;22;"6' 8""";217 lbs;Texas;--;
Seth Curry30;SG;33;"6' 1""";190 lbs;Duke;$4,000,000;
Dexter Dennis38;G;24;"6' 5""";210 lbs;Texas A&M;--;
Luka Doncic77;PG;24;"6' 7""";230 lbs;--;$40,064,220;
Dante Exum0;G;28;"6' 5""";214 lbs;--;$3,000,000;
Josh Green8;SG;22;"6' 6""";210 lbs;Arizona;$4,765,339;
Tim Hardaway Jr.10;SF;31;"6' 5""";205 lbs;Michigan;$17,897,728;
Jaden Hardy1;G;21;"6' 4""";198 lbs;--;$1,719,864;
Richaun Holmes20;F;30;"6' 10""";240 lbs;Bowling Green;$12,046,020;
Kyrie Irving11;PG;31;"6' 2""";191 lbs;Duke;$37,037,037;
Derrick Jones Jr.55;SF;26;"6' 6""";210 lbs;UNLV;$2,019,706;
Maxi Kleber42;PF;31;"6' 10""";240 lbs;--;$11,000,000;
A.J. Lawson9;G;23;"6' 6""";185 lbs;South Carolina;--;
Dereck Lively II2;C;19;"7' 1""";234 lbs;Duke;$4,775,640;
Mike Miles Jr.14;G;21;"6' 2""";205 lbs;TCU;--;
Markieff Morris88;PF;34;"6' 9""";245 lbs;Kansas;$2,019,706;
Dwight Powell7;C;32;"6' 10""";240 lbs;Stanford;$4,000,000;
Olivier-Maxence Prosper18;F;21;"6' 8""";215 lbs;Marquette;$2,733,360;
Jordan Walker16;SG;24;"5' 11""";170 lbs;UAB;--;
Grant Williams3;PF;24;"6' 6""";236 lbs;Tennessee;$12,325,581;
