,season,player_name,pos,player_age,height,draft_pick,games_played,mins_played,ppg,fgm,fga,fg_perc,threes_made,threes_att,threes_perc,ft_made,ft_att,ft_perc,reb,ast,turnovers,steals,blocks,pers_fouls,plus_minus

0,2023,Grant Williams,SF,24,6' 6'',2019 R1 P22,79,25.9,8.1,2.7,6.0,45.4,1.5,3.7,39.5,1.2,1.5,77.0,4.6,1.7,1.0,0.5,0.4,2.4,2.6
1,2023,Greg Brown,SF,22,6' 7'',2021 R2 P13,16,5.8,1.8,0.7,1.8,39.3,0.1,0.4,14.3,0.3,0.8,41.7,1.2,0.2,0.4,0.3,0.3,0.8,-0.3
2,2023,Seth Curry,PG,33,6' 1'',2013 Undrafted,61,19.8,9.2,3.4,7.4,46.3,1.5,3.8,40.5,0.8,0.9,92.7,1.6,1.6,0.8,0.6,0.1,1.6,-1.1
3,2023,Dexter Dennis,SG,24,6' 5'',2023 Undrafted,,,,,,,,,,,,,,,,,,,
4,2023,Dante Exum,PG,28,6' 5'',2014 R1 P5,,,,,,,,,,,,,,,,,,,
5,2023,Richaun Holmes,PF,30,6' 9'',2015 R2 P7,42,8.3,3.1,1.3,2.1,61.8,0.1,0.2,62.5,0.4,0.5,78.9,1.9,0.2,0.3,0.1,0.3,1.2,-1.6
6,2023,Derrick Jones Jr,SF,26,6' 6'',2016 Undrafted,64,14.0,5.0,1.8,3.6,50.0,0.4,1.3,33.8,1.0,1.3,73.8,2.4,0.5,0.4,0.5,0.6,1.3,1.9
7,2023,Dereck Lively II,C,19,7' 1'',2023 R1 P12,,,,,,,,,,,,,,,,,,,
8,2023,Olivier Maxence Prosper,SF,21,6' 7'',2023 R1 P24,,,,,,,,,,,,,,,,,,,
9,2023,Luka Doncic,PG,24,6' 7'',2018 R1 P3,66,36.2,32.4,10.9,22.0,49.6,2.8,8.2,34.2,7.8,10.5,74.2,8.6,8.0,3.6,1.4,0.5,2.5,1.9
10,2023,Kyrie Irving,PG,31,6' 2'',2011 R1 P1,20,38.1,27.0,9.8,19.2,51.0,2.9,7.4,39.2,4.5,4.7,94.7,5.0,6.0,1.9,1.3,0.6,2.8,4.8
11,2023,Maxi Kleber,PF,31,6' 10'',2014 Undrafted,37,25.1,5.9,2.1,4.6,45.6,1.1,3.0,34.8,0.7,1.0,71.1,3.6,1.4,0.7,0.3,0.8,2.3,-1.2
12,2023,Tim Hardaway Jr.,SG,31,6' 5'',2013 R1 P24,71,30.3,14.4,4.8,11.9,40.1,3.0,7.7,38.5,1.8,2.3,77.0,3.5,1.8,0.8,0.7,0.2,1.7,2.3
13,2023,Josh Green,SG,22,6' 5'',2020 R1 P18,60,25.7,9.1,3.4,6.4,53.7,1.1,2.8,40.2,1.1,1.6,72.3,3.0,1.7,1.2,0.7,0.1,2.6,1.3
14,2023,Jaden Hardy,SG,20,6' 3'',2022 R2 P7,48,14.8,8.8,3.0,6.9,43.8,1.3,3.3,40.4,1.4,1.6,82.3,1.9,1.4,1.0,0.4,0.1,1.3,-0.7
15,2023,A.J. Lawson,SF,22,6' 6'',2021 Undrafted,14,7.6,3.9,1.5,3.1,48.8,0.7,1.8,40.0,0.1,0.6,25.0,1.4,0.1,0.2,0.1,0.0,0.7,-2.9
16,2023,Markieff Morris,PF,33,6' 9'',2011 R1 P13,8,8.7,4.5,1.8,4.1,42.4,1.0,2.8,36.4,0.0,0.0,0.0,1.5,0.8,0.5,0.1,0.0,1.9,-2.5
17,2023,Dwight Powell,PF,31,6' 10'',2014 R2 P15,76,19.2,6.7,2.6,3.5,73.2,0.0,0.1,0.0,1.5,2.2,66.7,4.1,0.9,0.9,0.6,0.3,2.8,2.2

