,Unnamed: 0,season,player_name,pos,player_age,height,draft_pick,games_played,wins,losses,mins_played,ppg,fgm,fga,fg_perc,threes_made,threes_att,threes_perc,ft_made,ft_att,ft_perc,reb,ast,turnovers,steals,blocks,pers_fouls,plus_minus
0,0,2023,Luka Doncic,PG,24,6' 7'',2018 R1 P3,66,33,33,36.2,32.4,10.9,22.0,49.6,2.8,8.2,34.2,7.8,10.5,74.2,8.6,8.0,3.6,1.4,0.5,2.5,1.9
1,1,2023,Kyrie Irving,PG,31,6' 2'',2011 R1 P1,20,8,12,38.1,27.0,9.8,19.2,51.0,2.9,7.4,39.2,4.5,4.7,94.7,5.0,6.0,1.9,1.3,0.6,2.8,4.8
2,2,2023,Spencer Dinwiddie,SG,30,6' 5'',2014 R2 P8,53,28,25,34.1,17.7,6.0,13.1,45.5,2.6,6.4,40.5,3.2,3.9,82.1,3.1,5.3,1.7,0.7,0.3,2.3,-1.4
3,3,2023,Christian Wood,PF,27,6' 8'',2015 Undrafted,67,33,34,25.9,16.6,5.9,11.5,51.5,1.6,4.2,37.6,3.2,4.2,77.2,7.3,1.8,1.8,0.4,1.1,2.5,-0.7
4,4,2023,Tim Hardaway Jr.,SG,31,6' 5'',2013 R1 P24,71,37,34,30.3,14.4,4.8,11.9,40.1,3.0,7.7,38.5,1.8,2.3,77.0,3.5,1.8,0.8,0.7,0.2,1.7,2.3
5,5,2023,Dorian Finney-Smith,SF,30,6' 7'',2016 Undrafted,40,19,21,32.2,9.1,3.2,7.8,41.6,1.9,5.4,35.5,0.8,1.0,75.0,4.7,1.5,0.9,1.0,0.5,2.0,0.4
6,6,2023,Josh Green,SG,22,6' 5'',2020 R1 P18,60,27,33,25.7,9.1,3.4,6.4,53.7,1.1,2.8,40.2,1.1,1.6,72.3,3.0,1.7,1.2,0.7,0.1,2.6,1.3
7,7,2023,Jaden Hardy,SG,20,6' 3'',2022 R2 P7,48,20,28,14.8,8.8,3.0,6.9,43.8,1.3,3.3,40.4,1.4,1.6,82.3,1.9,1.4,1.0,0.4,0.1,1.3,-0.7
8,8,2023,Kemba Walker,PG,33,6' 0'',2011 R1 P9,9,5,4,16.0,8.0,2.7,6.3,42.1,0.8,3.1,25.0,1.9,2.3,81.0,1.8,2.1,0.4,0.2,0.2,1.2,-0.1
9,9,2023,Reggie Bullock Jr.,SF,32,6' 6'',2013 R1 P25,78,37,41,30.3,7.2,2.5,6.0,40.9,1.9,5.1,38.0,0.3,0.5,70.3,3.6,1.4,0.5,0.7,0.2,2.1,-1.1
10,10,2023,Dwight Powell,PF,31,6' 10'',2014 R2 P15,76,37,39,19.2,6.7,2.6,3.5,73.2,0.0,0.1,0.0,1.5,2.2,66.7,4.1,0.9,0.9,0.6,0.3,2.8,2.2
11,11,2023,Maxi Kleber,PF,31,6' 10'',2014 Undrafted,37,18,19,25.1,5.9,2.1,4.6,45.6,1.1,3.0,34.8,0.7,1.0,71.1,3.6,1.4,0.7,0.3,0.8,2.3,-1.2
12,12,2023,Davis Bertans,SF,30,6' 10'',2011 R2 P12,45,20,25,10.9,4.6,1.5,3.6,43.1,1.2,3.1,39.0,0.3,0.3,86.7,1.2,0.5,0.2,0.2,0.2,1.2,-0.8
13,13,2023,Markieff Morris,PF,33,6' 9'',2011 R1 P13,8,1,7,8.7,4.5,1.8,4.1,42.4,1.0,2.8,36.4,0.0,0.0,0.0,1.5,0.8,0.5,0.1,0.0,1.9,-2.5
14,14,2023,JaVale McGee,C,35,7' 0'',2008 R1 P18,42,20,22,8.4,4.4,1.9,3.0,64.0,0.0,0.1,40.0,0.6,1.0,58.5,2.5,0.3,0.9,0.1,0.6,1.3,-1.4
15,15,2023,Justin Holiday,SF,34,6' 6'',2011 Undrafted,18,6,12,16.4,4.4,1.6,4.4,36.7,0.9,3.1,28.6,0.3,0.4,62.5,1.8,0.9,0.6,0.8,0.5,1.7,-3.5
16,16,2023,McKinley Wright IV,PG,24,5' 11'',2021 Undrafted,27,14,13,12.4,4.2,1.7,3.6,46.9,0.3,1.0,32.1,0.5,0.7,68.4,1.7,2.1,0.7,0.3,0.2,0.9,-4.1
17,17,2023,A.J. Lawson,SF,22,6' 6'',2021 Undrafted,14,4,10,7.6,3.9,1.5,3.1,48.8,0.7,1.8,40.0,0.1,0.6,25.0,1.4,0.1,0.2,0.1,0.0,0.7,-2.9
18,18,2023,Tyler Dorsey,SG,27,6' 5'',2017 R2 P11,3,2,1,2.8,3.0,1.3,1.7,80.0,0.3,0.7,50.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7
19,19,2023,Frank Ntilikina,PG,24,6' 4'',2017 R1 P8,47,20,27,12.9,2.9,1.0,2.8,36.4,0.4,1.4,25.4,0.5,0.7,66.7,1.3,1.2,0.6,0.3,0.1,1.4,0.7
20,20,2023,Theo Pinson,SG,27,6' 7'',2018 Undrafted,40,19,21,8.1,2.4,0.8,2.2,35.6,0.6,1.6,35.5,0.3,0.3,84.6,1.6,1.2,0.3,0.2,0.0,0.9,-1.3
21,21,2023,Chris Silva,PF,26,6' 8'',2015 Undrafted,1,1,0,3.0,2.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
22,22,2023,Facundo Campazzo,PG,32,5' 11'',2013 Undrafted,8,2,6,6.5,1.3,0.4,1.6,23.1,0.4,1.4,27.3,0.1,0.3,50.0,0.3,1.1,0.4,0.8,0.0,0.4,1.4
