,season,player_name,pos,player_age,height,draft_pick,games_played,wins,losses,mins_played,ppg,fgm,fga,fg_perc,threes_made,threes_att,threes_perc,ft_made,ft_att,ft_perc,reb,ast,turnovers,steals,blocks,pers_fouls,plus_minus
0,2024,Luka Doncic,PG,24,6' 7'',2018 R1 P3,2,2,0,35.1,41.0,14.5,25.0,58.0,6.0,12.5,48.0,6.0,8.5,70.6,11.5,8.5,2.0,1.0,0.0,1.0,6.5
1,2024,Kyrie Irving,PG,31,6' 2'',2011 R1 P1,2,2,0,35.1,19.5,8.0,20.5,39.0,1.0,6.0,16.7,2.5,2.5,100,4.5,6.0,1.0,0.5,0.0,2.5,-3.0
2,2024,Tim Hardaway Jr.,SF,31,6' 5'',2013 R1 P24,2,2,0,29.1,18.0,5.5,15.5,35.5,3.0,8.5,35.3,4.0,4.0,100,5.0,2.5,1.0,0.5,0.0,1.0,11.0
3,2024,Dereck Lively II,C,19,7' 1'',2023 R1 P12,2,2,0,23.8,12.5,5.5,6.0,91.7,0.0,0.0,0.0,1.5,2.5,60.0,6.0,0.5,1.0,0.5,1.0,2.0,10.5
4,2024,Dwight Powell,PF,32,6' 10'',2014 R2 P15,1,1,0,12.9,11.0,4.0,4.0,100,1.0,1.0,100,2.0,2.0,100,2.0,0.0,0.0,1.0,0.0,0.0,-6.0
5,2024,Grant Williams,SF,24,6' 6'',2019 R1 P22,2,2,0,32.2,11.0,4.0,8.5,47.1,2.5,6.0,41.7,0.5,0.5,100,6.0,0.0,2.5,0.0,0.5,4.5,-1.0
6,2024,Josh Green,SG,22,6' 5'',2020 R1 P18,2,2,0,28.9,9.0,2.5,6.0,41.7,1.0,2.5,40.0,3.0,5.0,60.0,2.5,1.5,1.5,2.0,0.0,3.0,6.0
7,2024,Maxi Kleber,PF,31,6' 10'',2014 Undrafted,2,2,0,24.5,3.0,1.0,5.0,20.0,1.0,2.5,40.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.5,2.0,-1.0
8,2024,Dante Exum,PG,28,6' 5'',2014 R1 P5,2,2,0,5.8,2.5,1.0,2.0,50.0,0.0,1.0,0.0,0.5,0.5,100,0.5,0.0,0.0,0.5,0.5,0.5,1.5
9,2024,Derrick Jones Jr.,SF,26,6' 6'',2016 Undrafted,2,2,0,12.9,2.5,1.0,4.0,25.0,0.0,2.0,0.0,0.5,1.0,50.0,1.0,0.5,1.0,0.0,0.0,0.5,0.0
10,2024,Seth Curry,PG,33,6' 1'',2013 Undrafted,2,2,0,6.3,1.0,0.5,0.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,2.5
